case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star
4801,10.0,0.57,0.06,"[1, 1, 1, 1, 1]",0.039875,0.016822,3313.355021
4802,10.0,0.63,0.06,"[1, 1, 1, 1, 1]",0.165020,0.021874,807.418476
4803,10.0,0.56,0.06,"[1, 1, 1, 1, 1]",0.057490,0.021157,2004.159046
4804,10.0,0.8,0.08,"[1, 1, 1, 1, 2]",0.036591,0.017299,3169.638919
4805,10.0,0.86,0.09,"[1, 1, 1, 1, 1]",0.055042,0.018515,2368.382466
4806,10.0,0.63,0.06,"[1, 1, 1, 1, 1]",0.038069,0.014844,3405.887165
4807,10.0,0.69,0.07,"[1, 1, 1, 1, 1]",0.032270,0.017662,3528.306609
4808,10.0,0.64,0.06,"[1, 1, 1, 1, 1]",0.205005,0.016393,659.594678
4809,10.0,0.72,0.07,"[1, 3, 1, 1, 1]",0.041970,0.017202,2849.945912
4810,10.0,0.5,0.05,"[1, 1, 1, 1, 1]",0.096515,0.016454,1481.016126
4811,10.0,0.86,0.09,"[1, 1, 1, 1, 1]",0.032813,0.028788,3474.823076
4812,10.0,0.42,0.04,"[1, 1, 1, 1, 1]",0.048444,0.022802,3227.633001
4813,10.0,0.54,0.05,"[1, 1, 1, 1, 1]",0.038320,0.016009,3814.762423
4814,10.0,0.61,0.06,"[1, 1, 1, 1, 1]",0.129967,0.015294,1256.472719
4815,10.0,0.66,0.07,"[1, 1, 1, 1, 1]",0.081933,0.022631,1435.080342
4816,10.0,0.78,0.08,"[1, 2, 1, 1, 1]",0.028232,0.022625,3876.107801
4817,10.0,0.6,0.06,"[1, 1, 1, 1, 1]",0.508055,0.024819,232.021995
4818,10.0,0.67,0.07,"[1, 1, 1, 1, 1]",0.035921,0.017173,3275.484875
4819,10.0,0.63,0.06,"[1, 1, 1, 1, 1]",0.084696,0.012776,1566.537856
4820,10.0,0.66,0.07,"[1, 1, 1, 1, 1]",0.030213,0.016371,4411.298521
4821,10.0,0.61,0.06,"[1, 1, 1, 1, 1]",0.045441,0.018523,2982.769567
4822,10.0,0.59,0.06,"[1, 1, 1, 1, 1]",0.044295,0.014057,2682.920015
4823,10.0,0.61,0.06,"[1, 1, 1, 1, 1]",0.040141,0.018125,2602.344148
4824,10.0,0.85,0.09,"[1, 1, 1, 1, 1]",0.050249,0.018642,2346.735625
4825,10.0,0.91,0.09,"[1, 1, 1, 1, 1]",0.061840,0.021292,1621.287948
4826,10.0,0.68,0.07,"[1, 1, 2, 1, 1]",0.028448,0.023107,3884.959437
4827,10.0,0.76,0.08,"[1, 1, 1, 1, 1]",0.068619,0.026567,2203.184675
4828,10.0,0.94,0.09,"[1, 1, 1, 1, 1]",0.051362,0.017609,2477.713417
4829,10.0,0.82,0.08,"[1, 1, 1, 1, 1]",0.024220,0.023296,5620.040922
4830,10.0,0.4,0.04,"[1, 1, 1, 1, 1]",0.039425,0.017082,3706.773419
4831,10.0,0.52,0.05,"[1, 1, 1, 1, 1]",0.056768,0.016639,2434.453322
4832,10.0,0.76,0.08,"[1, 1, 1, 1, 1]",0.078301,0.018472,1440.592693
4833,10.0,0.53,0.05,"[1, 1, 1, 1, 1]",0.044146,0.031945,3362.917955
4834,10.0,0.66,0.07,"[1, 1, 1, 1, 1]",0.040786,0.023921,2835.277229
4835,10.0,0.54,0.05,"[1, 1, 1, 1, 1]",0.062689,0.018643,2358.621643
4836,10.0,0.75,0.08,"[1, 1, 1, 1, 1]",0.060734,0.017167,2213.921515
4837,10.0,0.79,0.08,"[1, 1, 1, 1, 1]",0.025946,0.017523,5519.194619
4838,10.0,0.9,0.09,"[1, 1, 1, 1, 1]",0.028753,0.017429,4960.246223
4839,10.0,0.7,0.07,"[1, 1, 1, 1, 1]",0.037999,0.020410,2802.147866
4840,10.0,0.76,0.08,"[1, 1, 1, 1, 1]",0.046238,0.019848,3549.898853
4841,10.0,0.88,0.09,"[1, 1, 1, 1, 1]",0.025468,0.025039,6353.862272
