case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star
45495,15.0,8.84,8.84,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.008836,0.172843,17374.037802
45496,15.0,7.49,7.49,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.009118,0.175153,14735.410580
45497,15.0,8.42,8.42,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.024459,0.198819,5956.806415
45498,15.0,7.58,7.58,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1]",0.010375,0.176184,13615.079769
45499,15.0,9.94,9.94,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",0.007533,0.213766,19553.326016
45500,15.0,8.55,8.55,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.031351,0.172500,5317.868319
45501,15.0,9.4,47.0,"[1, 1, 1, 4, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1]",0.005368,0.517655,21955.294569
45502,15.0,8.35,41.75,"[1, 2, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1]",0.006678,0.520794,18781.336144
45503,15.0,7.94,39.7,"[2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0.005967,0.542899,19547.904467
45504,15.0,7.86,39.3,"[1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.012354,0.523540,11176.246051
45505,15.0,8.29,41.45,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.016685,0.482305,8135.093782
45506,15.0,7.93,39.65,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.006814,0.590513,21483.215687
45507,15.0,8.83,44.15,"[1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",0.005729,0.515606,24481.931840
45508,15.0,10.05,50.25,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.019917,0.537262,7199.053319
45509,15.0,7.45,37.25,"[1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2]",0.007869,0.539637,16777.228167
45510,15.0,10.04,50.2,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0.005373,0.534427,26649.362411
45511,15.0,8.56,42.8,"[1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1]",0.005611,0.539520,18744.210993
45512,15.0,7.76,38.8,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 1, 1, 1]",0.009188,0.554344,13869.996348
45513,15.0,9.04,45.2,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",0.009139,0.498208,15800.898385
45514,15.0,9.72,48.6,"[1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1]",0.007961,0.484692,14543.424189
45515,15.0,8.49,42.45,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.007101,0.499687,19156.994659
45516,15.0,10.14,50.7,"[1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011244,0.517855,13756.471244
45517,15.0,9.3,46.5,"[1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.006933,0.534254,17174.815048
45518,15.0,7.69,38.45,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1]",0.007075,0.529508,16174.460206
45519,15.0,8.12,40.6,"[5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 5, 3, 1, 1]",0.007045,0.532687,14791.713094
45520,15.0,7.83,39.15,"[1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.008386,0.552178,15803.818541
45521,15.0,8.49,42.45,"[2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1]",0.006342,0.561865,20809.714359
45522,15.0,8.42,42.1,"[2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 4, 2, 1, 1, 2, 1, 1, 2]",0.007600,0.544749,16298.412804
45523,15.0,8.27,41.35,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.007627,0.517298,17093.338399
45524,15.0,8.36,41.8,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1]",0.006848,0.540696,19580.623248
45525,15.0,8.76,43.8,"[3, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 3, 2, 1, 1, 1, 1]",0.004753,0.528957,20014.147737
45526,15.0,6.82,34.1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.011387,0.500500,13861.818196
45527,15.0,7.96,39.8,"[1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1]",0.006382,0.525155,17774.576768
45528,15.0,8.31,41.55,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.020452,0.513713,5946.590436
45529,15.0,10.85,54.25,"[1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.006317,0.553381,21956.129100
45530,15.0,7.86,39.3,"[2, 1, 1, 1, 1, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0.022989,0.513191,5560.347820
45531,15.0,9.6,48.0,"[2, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1]",0.006095,0.537689,19400.046551
45532,15.0,9.14,45.7,"[2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3]",0.006016,0.539113,23395.613174
45533,15.0,8.0,40.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1]",0.009194,0.520642,14138.166451
45534,15.0,7.52,37.6,"[1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 2, 1]",0.005769,0.523575,20395.994392
45535,15.0,7.26,36.3,"[3, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.006629,0.500308,20076.991256
45536,15.0,8.07,40.35,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.030129,0.516568,4697.466093
45537,15.0,7.97,39.85,"[3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",0.005832,0.509455,20791.240045
45538,15.0,8.15,40.75,"[1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1]",0.027559,0.516045,5123.771442
45539,15.0,6.89,34.45,"[1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 3, 1, 2, 1, 1]",0.007954,0.525592,15778.631898
