case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star
3201,10.0,1.49,0.15,"[1, 1, 1, 1, 1]",0.032818,0.024453,1711.239917
3202,10.0,1.57,0.16,"[1, 1, 1, 1, 1]",0.029778,0.022689,1388.944330
3203,10.0,1.03,0.1,"[1, 1, 1, 1, 1]",0.015263,0.016213,3191.943047
3204,10.0,2.2,0.22,"[1, 1, 1, 1, 1]",0.014175,0.015076,3721.981854
3205,10.0,1.64,0.16,"[1, 1, 1, 1, 2]",0.022602,0.020722,2328.076096
3206,10.0,1.85,0.19,"[1, 1, 1, 1, 1]",0.016194,0.019187,3035.731479
3207,10.0,1.36,0.14,"[1, 1, 1, 1, 1]",0.032509,0.016656,1509.717740
3208,10.0,2.05,0.2,"[1, 1, 1, 1, 1]",0.014642,0.017758,3722.160933
3209,10.0,1.89,0.19,"[1, 1, 1, 1, 1]",0.043951,0.019589,1119.877279
3210,10.0,2.23,0.22,"[1, 1, 1, 1, 1]",0.017074,0.015010,2621.567104
3211,10.0,1.7,0.17,"[1, 1, 1, 1, 1]",0.044139,0.019742,1351.652238
3212,10.0,1.39,0.14,"[1, 1, 1, 1, 1]",0.025265,0.014785,1923.599747
3213,10.0,1.56,0.16,"[1, 1, 1, 1, 1]",0.020089,0.019828,2266.855854
3214,10.0,1.06,0.11,"[2, 1, 1, 1, 1]",0.018267,0.022256,3195.956688
3215,10.0,1.93,0.19,"[1, 1, 1, 1, 1]",0.011928,0.020405,3739.256498
3216,10.0,1.89,0.19,"[1, 1, 1, 1, 1]",0.017220,0.021456,3291.526682
3217,10.0,1.77,0.18,"[1, 1, 1, 1, 1]",0.023358,0.015893,2017.333269
3218,10.0,1.69,0.17,"[2, 1, 1, 1, 1]",0.017092,0.029466,2211.009722
3219,10.0,2.57,0.26,"[1, 1, 1, 1, 1]",0.010908,0.016611,3549.693851
3220,10.0,1.37,0.14,"[1, 1, 1, 1, 1]",0.012182,0.021939,4946.486135
3221,10.0,2.68,0.27,"[1, 1, 1, 1, 1]",0.028339,0.015564,1554.033726
3222,10.0,1.78,0.18,"[1, 1, 1, 1, 1]",0.015171,0.015189,3626.721463
3223,10.0,2.3,0.23,"[1, 2, 1, 1, 1]",0.014436,0.014631,2935.679166
3224,10.0,1.69,0.17,"[1, 1, 1, 1, 1]",0.015146,0.017900,4072.342151
3225,10.0,1.72,0.17,"[1, 1, 1, 1, 1]",0.014396,0.019976,4046.828075
3226,10.0,2.11,0.21,"[1, 1, 1, 1, 1]",0.010025,0.015366,6740.955346
3227,10.0,2.14,0.21,"[2, 1, 1, 1, 1]",0.010003,0.020010,4782.416877
3228,10.0,1.25,0.12,"[2, 1, 1, 1, 1]",0.010819,0.016437,4014.301872
3229,10.0,1.12,0.11,"[1, 1, 1, 1, 1]",0.019454,0.020020,2822.020115
3230,10.0,0.57,0.06,"[1, 1, 1, 1, 1]",0.019142,0.022391,3165.817071
3231,10.0,2.34,0.23,"[1, 1, 1, 1, 1]",0.027906,0.018732,1945.807636
3232,10.0,1.99,0.2,"[1, 1, 1, 1, 1]",0.018992,0.018275,2453.606902
3233,10.0,2.04,0.2,"[1, 1, 1, 1, 1]",0.009205,0.015368,5290.390908
3234,10.0,1.68,0.17,"[1, 1, 2, 1, 1]",0.011930,0.032184,4148.366806
3235,10.0,1.38,0.14,"[1, 1, 1, 1, 1]",0.025379,0.017867,2315.279545
3236,10.0,1.15,0.11,"[1, 1, 1, 1, 1]",0.040685,0.018250,1482.613590
3237,10.0,1.55,0.16,"[1, 1, 1, 1, 1]",0.014206,0.018372,3778.581716
3238,10.0,1.49,0.15,"[1, 1, 1, 1, 1]",0.043390,0.019998,885.451398
3239,10.0,1.33,0.13,"[1, 1, 1, 1, 1]",0.021590,0.017787,1839.745655
3240,10.0,0.9,0.09,"[1, 1, 1, 1, 1]",0.011479,0.014915,3606.592299
3241,10.0,1.24,0.12,"[1, 1, 1, 1, 1]",0.020777,0.016234,2976.335637
3242,10.0,2.42,0.24,"[1, 1, 1, 1, 1]",0.012970,0.023719,3238.173578
3243,10.0,1.76,0.18,"[1, 1, 1, 1, 1]",0.012595,0.012593,3452.157004
3244,10.0,1.98,0.2,"[1, 1, 1, 1, 1]",0.010656,0.028650,4072.920443
3245,10.0,1.68,0.17,"[1, 1, 1, 1, 1]",0.019677,0.019989,2378.470460
3246,10.0,1.37,0.14,"[1, 1, 1, 1, 1]",0.032254,0.017137,1519.189040
3247,10.0,2.0,0.2,"[1, 1, 1, 1, 1]",0.008447,0.023100,6054.479062
3248,10.0,2.27,0.23,"[1, 1, 1, 1, 1]",0.014800,0.018749,3366.108213
3249,10.0,1.18,0.12,"[1, 1, 1, 1, 1]",0.027198,0.016718,2006.749179
3250,10.0,1.94,0.19,"[1, 1, 1, 1, 1]",0.014047,0.015948,4450.919891
3251,10.0,1.62,0.16,"[1, 1, 1, 1, 1]",0.008648,0.023368,5175.935026
3252,10.0,2.08,0.21,"[2, 1, 1, 2, 1]",0.007931,0.018204,5215.123180
3253,10.0,1.32,0.13,"[1, 1, 1, 1, 1]",0.012421,0.014072,4144.620719
3254,10.0,2.17,0.22,"[2, 1, 1, 1, 1]",0.011904,0.018839,3916.234927
3255,10.0,2.06,0.21,"[1, 1, 2, 1, 1]",0.009729,0.016855,6057.163539
3256,10.0,1.66,0.17,"[1, 1, 1, 1, 1]",0.011737,0.023547,4052.196574
3257,10.0,2.37,0.24,"[1, 1, 1, 1, 1]",0.014608,0.019296,3625.402590
3258,10.0,1.93,0.19,"[1, 1, 1, 1, 1]",0.012396,0.014776,3772.066799
3259,10.0,1.77,0.18,"[1, 1, 1, 1, 1]",0.016748,0.018635,3446.371411
3260,10.0,1.52,0.15,"[1, 1, 1, 1, 1]",0.031150,0.021090,1603.233687
3261,10.0,2.05,0.2,"[1, 1, 1, 1, 1]",0.011180,0.021091,5193.071773
3262,10.0,1.82,0.18,"[1, 1, 1, 1, 1]",0.014261,0.013792,3374.338539
3263,10.0,1.24,0.12,"[1, 1, 1, 2, 1]",0.021388,0.014705,2288.220674
3264,10.0,1.22,0.12,"[1, 1, 1, 1, 1]",0.012711,0.025601,3757.492705
3265,10.0,1.66,0.17,"[1, 1, 1, 1, 1]",0.010064,0.018744,4962.423784
3266,10.0,1.78,0.18,"[1, 1, 1, 1, 1]",0.017730,0.020105,2416.263351
3267,10.0,1.67,0.17,"[1, 1, 1, 1, 1]",0.013702,0.012810,4127.832301
3268,10.0,1.11,0.11,"[1, 1, 1, 1, 1]",0.035913,0.016226,1485.826364
3269,10.0,1.24,0.12,"[1, 1, 1, 1, 1]",0.023208,0.019911,2192.385250
3270,10.0,1.71,0.17,"[1, 1, 1, 1, 1]",0.010886,0.021411,3795.782227
3271,10.0,1.48,0.15,"[1, 1, 1, 1, 1]",0.013795,0.027918,3363.640114
3272,10.0,1.21,0.12,"[1, 1, 1, 1, 1]",0.017949,0.014570,2719.870737
3273,10.0,1.69,0.17,"[1, 1, 1, 2, 1]",0.010691,0.019263,4647.750925
3274,10.0,1.57,0.16,"[1, 1, 2, 1, 1]",0.012494,0.015983,3876.315332
3275,10.0,0.92,0.09,"[1, 1, 1, 1, 1]",0.072296,0.017926,723.688482
3276,10.0,1.65,0.17,"[1, 1, 1, 1, 1]",0.015824,0.021809,3332.894402
3277,10.0,2.48,0.25,"[1, 1, 1, 1, 1]",0.011396,0.028260,4368.155447
3278,10.0,1.67,0.17,"[1, 1, 1, 1, 1]",0.018379,0.021509,2753.164375
3279,10.0,1.9,0.19,"[1, 1, 1, 1, 1]",0.015288,0.018972,2919.896227
3280,10.0,1.54,0.15,"[1, 1, 1, 1, 1]",0.041384,0.018866,1149.718150
3281,10.0,2.08,0.21,"[1, 1, 2, 1, 1]",0.010108,0.016582,4399.446482
3282,10.0,1.69,0.17,"[1, 1, 1, 1, 1]",0.011863,0.022242,5275.370061
3283,10.0,2.03,0.2,"[1, 1, 1, 1, 1]",0.019282,0.016214,2759.007661
3284,10.0,2.12,0.21,"[1, 1, 1, 1, 1]",0.019575,0.024960,2310.104092
3285,10.0,2.22,0.22,"[1, 1, 1, 1, 1]",0.020070,0.013968,2779.310639
3286,10.0,1.2,0.12,"[1, 1, 1, 1, 1]",0.021503,0.016162,1743.937941
3287,10.0,2.06,0.21,"[1, 1, 1, 1, 1]",0.011133,0.020708,4512.903194
3288,10.0,2.3,0.23,"[1, 1, 1, 1, 1]",0.015733,0.023335,2834.822076
3289,10.0,1.92,0.19,"[1, 1, 1, 1, 1]",0.011326,0.014396,5094.572192
3290,10.0,1.8,0.18,"[1, 1, 2, 1, 1]",0.020720,0.019387,2803.584564
3291,10.0,1.37,0.14,"[1, 2, 1, 1, 1]",0.017614,0.021409,2674.617771
3292,10.0,1.75,0.18,"[1, 1, 1, 1, 1]",0.026349,0.015098,1924.961932
3293,10.0,1.61,0.16,"[2, 1, 1, 1, 1]",0.013566,0.015780,3502.822449
3294,10.0,2.07,0.21,"[1, 1, 1, 1, 1]",0.016748,0.026615,3436.922506
3295,10.0,1.64,0.16,"[1, 1, 1, 2, 1]",0.029013,0.014289,1788.853364
3296,10.0,1.76,0.18,"[1, 1, 1, 1, 1]",0.024370,0.029838,2105.831405
3297,10.0,1.34,0.13,"[1, 1, 1, 1, 1]",0.024586,0.016744,2265.535629
3298,10.0,1.14,0.11,"[1, 1, 1, 1, 1]",0.014256,0.019296,3804.594637
3299,10.0,1.45,0.14,"[1, 1, 1, 1, 1]",0.023447,0.031170,2412.217408
3300,10.0,1.88,0.19,"[1, 1, 1, 2, 1]",0.008849,0.022590,4740.677919
3301,10.0,2.04,1.02,"[1, 1, 1, 1, 1]",0.014678,0.142255,3917.297599
3302,10.0,2.11,1.05,"[1, 1, 1, 1, 1]",0.007807,0.109850,5933.511382
3303,10.0,1.43,0.71,"[1, 1, 1, 1, 1]",0.009860,0.088374,5371.328681
3304,10.0,1.19,0.59,"[1, 1, 1, 1, 1]",0.012221,0.069557,3672.483821
3305,10.0,1.92,0.96,"[1, 1, 1, 1, 1]",0.015185,0.103680,3076.749312
3306,10.0,1.82,0.91,"[1, 2, 1, 1, 1]",0.008905,0.140998,4816.293168
3307,10.0,1.58,0.79,"[1, 1, 1, 1, 2]",0.018943,0.144247,2642.180418
3308,10.0,1.99,0.99,"[1, 1, 1, 1, 1]",0.009414,0.083997,5417.345049
3309,10.0,1.99,0.99,"[1, 1, 1, 1, 1]",0.009974,0.083771,4373.168740
3310,10.0,1.7,0.85,"[1, 1, 1, 1, 1]",0.041693,0.083026,1469.308896
3311,10.0,1.96,0.98,"[1, 1, 1, 1, 1]",0.010333,0.098190,5487.298582
3312,10.0,1.32,0.66,"[1, 1, 1, 1, 1]",0.023313,0.112734,1606.812680
3313,10.0,1.88,0.94,"[1, 1, 1, 1, 1]",0.013509,0.073111,4109.716994
3314,10.0,2.11,1.05,"[1, 1, 1, 1, 1]",0.010128,0.096963,5008.082667
3315,10.0,1.7,0.85,"[1, 1, 1, 1, 2]",0.016913,0.078336,1990.728873
3316,10.0,1.3,0.65,"[1, 1, 1, 1, 1]",0.057194,0.095819,1020.380885
3317,10.0,1.84,0.92,"[1, 1, 1, 1, 1]",0.010947,0.078952,5278.022091
3318,10.0,1.32,0.66,"[1, 1, 1, 1, 1]",0.011774,0.121832,4095.526539
3319,10.0,1.64,0.82,"[1, 1, 1, 1, 3]",0.015600,0.070711,3002.101699
3320,10.0,1.88,0.94,"[1, 1, 1, 1, 1]",0.031714,0.071836,1590.465100
3321,10.0,1.84,0.92,"[1, 1, 1, 2, 1]",0.019177,0.091944,2379.988946
3322,10.0,2.19,1.09,"[1, 1, 1, 2, 1]",0.051317,0.114395,805.001992
3323,10.0,1.19,0.59,"[1, 1, 1, 1, 1]",0.025068,0.067731,1965.854151
3324,10.0,1.69,0.84,"[1, 1, 1, 1, 1]",0.009017,0.091573,5030.720976
3325,10.0,1.66,0.83,"[1, 1, 1, 1, 1]",0.029254,0.077043,1690.696208
3326,10.0,2.1,1.05,"[1, 1, 1, 1, 1]",0.024820,0.082612,2344.842743
3327,10.0,1.34,0.67,"[1, 1, 1, 1, 1]",0.012690,0.087844,4241.113987
3328,10.0,1.9,0.95,"[1, 1, 1, 2, 1]",0.012497,0.092094,3768.161162
3329,10.0,1.27,0.64,"[1, 1, 1, 1, 1]",0.019608,0.100422,2007.326960
3330,10.0,1.41,0.7,"[1, 2, 1, 1, 1]",0.019872,0.097077,2508.569061
3331,10.0,1.69,0.84,"[1, 1, 1, 1, 1]",0.028714,0.086416,1595.754806
3332,10.0,1.62,0.81,"[1, 1, 1, 1, 1]",0.037806,0.063767,1214.624372
3333,10.0,2.17,1.08,"[1, 1, 2, 1, 1]",0.011145,0.096114,4946.543270
3334,10.0,1.79,0.9,"[1, 1, 2, 1, 1]",0.009982,0.067907,3731.801304
3335,10.0,1.79,0.9,"[1, 2, 1, 1, 1]",0.008667,0.092731,4671.664027
3336,10.0,2.2,1.1,"[1, 1, 1, 1, 1]",0.012461,0.090645,4880.881087
3337,10.0,1.14,0.57,"[1, 1, 1, 1, 1]",0.064453,0.097878,706.246283
3338,10.0,1.57,0.79,"[1, 1, 1, 1, 1]",0.012161,0.122934,5052.347087
3339,10.0,1.51,0.76,"[1, 1, 1, 1, 1]",0.014378,0.075919,3850.342543
3340,10.0,1.19,0.59,"[1, 1, 1, 1, 2]",0.009299,0.128956,5097.058381
3341,10.0,1.67,0.83,"[1, 1, 1, 2, 1]",0.011070,0.148527,4050.573478
3342,10.0,1.68,0.84,"[1, 1, 1, 1, 1]",0.010249,0.081440,3982.718285
3343,10.0,1.83,0.92,"[1, 1, 1, 1, 1]",0.016339,0.082394,3198.559512
3344,10.0,1.85,0.93,"[2, 1, 1, 1, 1]",0.012617,0.136737,4018.258416
3345,10.0,1.51,0.76,"[1, 1, 1, 1, 1]",0.194353,0.077961,282.577990
3346,10.0,1.51,0.76,"[1, 1, 2, 1, 1]",0.012799,0.094174,3018.276874
3347,10.0,2.01,1.0,"[1, 1, 1, 1, 1]",0.013050,0.081319,4029.222430
3348,10.0,1.9,0.95,"[1, 1, 1, 1, 1]",0.011472,0.075098,4775.095987
3349,10.0,1.71,0.85,"[1, 1, 1, 1, 1]",0.010819,0.079946,4860.066746
3350,10.0,1.58,0.79,"[1, 1, 1, 1, 1]",0.010511,0.078749,3447.967619
3351,10.0,2.07,1.03,"[1, 1, 1, 1, 1]",0.010105,0.072682,4859.165584
3352,10.0,1.05,0.53,"[1, 1, 1, 1, 2]",0.016395,0.093471,2686.791092
3353,10.0,1.25,0.62,"[1, 1, 1, 1, 1]",0.019012,0.081488,2971.876429
3354,10.0,1.64,0.82,"[1, 1, 1, 1, 1]",0.031130,0.100070,1432.043330
3355,10.0,1.49,0.74,"[1, 1, 1, 1, 1]",0.058318,0.130514,879.313556
3356,10.0,1.98,0.99,"[1, 1, 1, 1, 1]",0.011393,0.126663,4985.321714
3357,10.0,1.82,0.91,"[1, 1, 1, 1, 1]",0.029634,0.089741,1306.623963
3358,10.0,1.93,0.96,"[1, 1, 1, 1, 1]",0.015912,0.078990,2403.265886
3359,10.0,2.25,1.12,"[1, 1, 1, 1, 1]",0.013136,0.098863,3889.968295
3360,10.0,1.47,0.73,"[1, 1, 1, 1, 1]",0.010196,0.077030,5476.462437
3361,10.0,0.88,0.44,"[1, 1, 1, 1, 1]",0.020861,0.066668,2457.224365
3362,10.0,1.45,0.72,"[1, 1, 1, 1, 1]",0.041949,0.075841,1207.177015
3363,10.0,1.41,0.7,"[2, 1, 1, 1, 1]",0.013883,0.107711,3358.029020
3364,10.0,1.74,0.87,"[1, 1, 1, 1, 1]",0.012661,0.094210,3764.186279
3365,10.0,1.74,0.87,"[1, 1, 1, 1, 1]",0.052749,0.088281,716.224847
3366,10.0,1.65,0.82,"[1, 2, 1, 1, 1]",0.009833,0.115180,3780.960812
3367,10.0,1.17,0.58,"[1, 1, 1, 1, 1]",0.020709,0.132668,2633.612372
3368,10.0,2.43,1.22,"[1, 1, 1, 1, 1]",0.012504,0.084867,3936.424723
3369,10.0,1.19,0.59,"[1, 1, 1, 1, 1]",0.018657,0.077805,3075.480242
3370,10.0,1.01,0.51,"[1, 1, 1, 1, 1]",0.035457,0.060780,1256.720235
3371,10.0,1.04,0.52,"[1, 1, 1, 1, 1]",0.062092,0.077494,717.648810
3372,10.0,1.95,0.97,"[1, 1, 1, 1, 1]",0.015491,0.070460,3705.395040
3373,10.0,1.12,0.56,"[1, 2, 1, 1, 1]",0.019451,0.156608,2433.822709
3374,10.0,1.78,0.89,"[1, 1, 1, 1, 1]",0.015732,0.094612,3610.383953
3375,10.0,1.63,0.81,"[1, 1, 1, 1, 1]",0.010566,0.096477,5211.113916
3376,10.0,1.89,0.94,"[1, 1, 1, 1, 1]",0.024060,0.076926,1693.267825
3377,10.0,2.23,1.11,"[1, 1, 1, 1, 1]",0.040755,0.103433,1271.508853
3378,10.0,1.99,0.99,"[1, 1, 1, 1, 1]",0.012289,0.065506,3757.811307
3379,10.0,2.06,1.03,"[1, 1, 1, 1, 1]",0.011420,0.094905,3341.460559
3380,10.0,2.17,1.08,"[1, 1, 1, 1, 1]",0.013090,0.090654,4510.218851
3381,10.0,1.82,0.91,"[1, 1, 1, 1, 1]",0.010422,0.124387,4388.689562
3382,10.0,1.65,0.82,"[1, 1, 1, 1, 1]",0.011614,0.101894,4985.355946
3383,10.0,1.59,0.8,"[1, 1, 1, 1, 1]",0.011332,0.066643,4105.144042
3384,10.0,1.04,0.52,"[1, 1, 1, 1, 1]",0.016204,0.149198,3279.446157
3385,10.0,2.38,1.19,"[1, 1, 1, 1, 1]",0.009834,0.085117,3666.957052
