case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star
6401,15.0,2.33,0.23,"[1, 1, 1, 1, 1]",0.017936,0.018332,3225.871559
6402,15.0,1.95,0.2,"[1, 1, 1, 1, 1]",0.008718,0.018533,5858.846252
6403,15.0,1.59,0.16,"[1, 1, 1, 1, 1]",0.037488,0.019092,1625.039878
6404,15.0,2.22,0.22,"[1, 1, 1, 1, 1]",0.013159,0.018156,3632.392024
6405,15.0,1.67,0.17,"[1, 1, 1, 1, 1]",0.018494,0.013692,3063.735960
6406,15.0,1.27,0.13,"[1, 1, 1, 1, 1]",0.015756,0.030921,4290.473421
6407,15.0,1.42,0.14,"[1, 1, 1, 1, 1]",0.035569,0.015695,1860.026506
6408,15.0,2.73,0.27,"[1, 1, 1, 1, 1]",0.014115,0.014657,4505.947923
6409,15.0,1.88,0.19,"[1, 1, 2, 1, 1]",0.013633,0.021869,4285.832938
6410,15.0,1.66,0.17,"[1, 1, 1, 1, 1]",0.034373,0.018393,1792.683237
6411,15.0,1.38,0.14,"[1, 1, 1, 1, 1]",0.018541,0.016528,3798.066874
6412,15.0,1.75,0.18,"[1, 1, 2, 1, 1]",0.013959,0.025446,4397.276687
6413,15.0,1.32,0.13,"[1, 1, 1, 1, 1]",0.059584,0.015451,1054.988878
6414,15.0,2.46,0.25,"[1, 1, 1, 1, 1]",0.024896,0.018188,2505.621919
6415,15.0,1.14,0.11,"[1, 1, 1, 1, 1]",0.032599,0.022255,2000.696629
6416,15.0,1.74,0.17,"[1, 1, 1, 1, 1]",0.053170,0.023287,1265.370217
6417,15.0,2.49,0.25,"[1, 1, 1, 1, 1]",0.014228,0.018301,3670.256369
6418,15.0,1.0,0.1,"[1, 1, 1, 1, 1]",0.013834,0.016796,4578.616996
6419,15.0,0.72,0.07,"[1, 1, 1, 1, 1]",0.022525,0.016826,2866.178071
6420,15.0,2.04,0.2,"[1, 1, 1, 1, 1]",0.030346,0.016225,1944.870402
6421,15.0,1.82,0.18,"[1, 1, 1, 1, 1]",0.014464,0.016610,3357.355743
6422,15.0,1.46,0.15,"[1, 1, 1, 1, 1]",0.025281,0.020210,2734.868165
6423,15.0,1.28,0.13,"[1, 1, 1, 1, 1]",0.021771,0.019469,2990.181006
6424,15.0,1.55,0.16,"[1, 1, 1, 1, 1]",0.016229,0.014459,3821.493717
6425,15.0,2.33,0.23,"[1, 1, 1, 1, 1]",0.010294,0.021086,6053.959800
6426,15.0,1.66,0.17,"[1, 1, 1, 1, 1]",0.027639,0.018395,2417.602076
6427,15.0,1.49,0.15,"[1, 1, 1, 2, 1]",0.016991,0.021499,3565.448908
6428,15.0,1.79,0.18,"[1, 1, 1, 1, 1]",0.011128,0.026949,5186.729253
6429,15.0,1.45,0.14,"[1, 1, 2, 1, 1]",0.011423,0.024558,5595.805913
6430,15.0,1.15,0.11,"[1, 1, 1, 1, 1]",0.023218,0.015091,2180.241294
6431,15.0,2.04,0.2,"[1, 1, 1, 1, 1]",0.009516,0.017432,5928.877688
6432,15.0,1.73,0.17,"[1, 1, 1, 1, 1]",0.023344,0.016727,2915.573938
6433,15.0,1.0,0.1,"[1, 1, 1, 2, 1]",0.014798,0.014285,3812.063895
6434,15.0,2.14,0.21,"[1, 1, 1, 1, 1]",0.013892,0.018398,4277.417719
6435,15.0,1.83,0.18,"[1, 1, 1, 1, 1]",0.038927,0.022817,1550.086933
6436,15.0,2.0,0.2,"[1, 1, 1, 1, 1]",0.029647,0.032466,2285.527533
6437,15.0,1.84,0.18,"[1, 1, 1, 1, 1]",0.016143,0.013350,4015.443684
6438,15.0,1.52,0.15,"[1, 1, 1, 1, 1]",0.017230,0.013159,3905.995460
6439,15.0,2.26,0.23,"[1, 1, 1, 1, 1]",0.014455,0.017687,3968.217998
6440,15.0,1.68,0.17,"[1, 1, 1, 1, 1]",0.026493,0.024507,2333.422732
6441,15.0,1.58,0.16,"[1, 1, 1, 1, 1]",0.013233,0.014897,4517.424884
6442,15.0,2.7,0.27,"[1, 1, 1, 1, 1]",0.039330,0.016082,1342.490381
6443,15.0,0.63,0.06,"[1, 1, 1, 1, 1]",0.019800,0.022654,2865.698995
6444,15.0,1.29,0.13,"[1, 1, 1, 1, 1]",0.016075,0.021179,3963.866236
6445,15.0,1.8,0.18,"[1, 1, 1, 1, 1]",0.012885,0.014703,4534.044464
6446,15.0,2.07,0.21,"[1, 1, 1, 2, 1]",0.024160,0.024871,2022.797550
6447,15.0,1.89,0.19,"[1, 1, 1, 1, 1]",0.013685,0.018525,4010.240955
6448,15.0,1.72,0.17,"[1, 1, 1, 1, 1]",0.014704,0.014433,3596.237571
6449,15.0,1.55,0.16,"[1, 1, 1, 1, 1]",0.018989,0.016319,3617.837484
6450,15.0,1.25,0.12,"[1, 1, 1, 1, 1]",0.011757,0.014859,5446.822401
6451,15.0,2.32,0.23,"[1, 1, 1, 1, 1]",0.022131,0.017207,2792.411680
6452,15.0,1.65,0.17,"[1, 1, 1, 1, 1]",0.015739,0.020659,3545.321058
6453,15.0,1.81,0.18,"[1, 1, 1, 1, 1]",0.015895,0.026246,4045.359634
6454,15.0,2.0,0.2,"[1, 1, 1, 1, 1]",0.010438,0.017897,4807.596205
6455,15.0,2.82,0.28,"[1, 1, 1, 1, 1]",0.013134,0.020183,5763.583537
6456,15.0,1.08,0.11,"[1, 1, 1, 1, 1]",0.032088,0.015470,1898.507482
6457,15.0,1.64,0.16,"[1, 1, 1, 1, 1]",0.013853,0.021520,3763.785997
6458,15.0,1.21,0.12,"[1, 1, 1, 1, 1]",0.020464,0.017754,2713.117027
6459,15.0,1.83,0.18,"[1, 1, 1, 1, 1]",0.013087,0.015293,4659.448169
6460,15.0,1.75,0.18,"[1, 1, 1, 1, 1]",0.025476,0.017616,2078.045616
6461,15.0,1.55,0.16,"[1, 1, 1, 2, 1]",0.023195,0.020514,2257.421606
6462,15.0,2.06,0.21,"[1, 1, 1, 1, 1]",0.024745,0.020767,2531.421022
6463,15.0,1.66,0.17,"[1, 1, 1, 1, 1]",0.018655,0.016924,3061.971534
6464,15.0,1.54,0.15,"[1, 1, 2, 1, 1]",0.013314,0.023317,4018.312222
6465,15.0,1.87,0.19,"[1, 1, 1, 1, 1]",0.013661,0.020085,3726.020699
6466,15.0,1.65,0.17,"[1, 1, 1, 1, 1]",0.014643,0.017895,3840.800846
6467,15.0,1.75,0.18,"[1, 1, 1, 1, 1]",0.016520,0.015716,3687.655210
6468,15.0,1.2,0.12,"[1, 1, 1, 1, 1]",0.015286,0.020019,4371.290194
6469,15.0,1.41,0.14,"[1, 1, 1, 1, 1]",0.013315,0.020534,5166.929980
6470,15.0,2.18,0.22,"[1, 2, 1, 1, 1]",0.023230,0.015401,2467.079499
6471,15.0,1.66,0.17,"[1, 1, 1, 1, 1]",0.019468,0.020815,3320.287093
6472,15.0,2.31,0.23,"[1, 1, 1, 1, 1]",0.009113,0.018436,6612.527235
6473,15.0,1.76,0.18,"[1, 1, 1, 1, 1]",0.094485,0.018600,602.844112
