case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star
16001,10.0,1.5,0.15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.015400,0.009130,5101.378802
16002,10.0,1.54,0.15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.013221,0.012127,4170.765775
16003,10.0,1.48,0.15,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.010444,0.013868,7199.457746
16004,10.0,1.84,0.18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011586,0.009351,6644.079534
16005,10.0,1.24,0.12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.063566,0.007717,1330.264268
16006,10.0,1.58,0.16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.016724,0.016820,4338.749662
16007,10.0,1.77,0.18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.022033,0.011543,3720.848015
16008,10.0,1.58,0.16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.010921,0.010946,7189.883483
16009,10.0,1.88,0.19,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.011673,0.008605,6649.307969
16010,10.0,1.31,0.13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.020608,0.014193,4477.844449
16011,10.0,1.45,0.14,"[1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",0.026697,0.009646,2752.328719
16012,10.0,2.22,0.22,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011292,0.009927,6811.923750
16013,10.0,1.46,0.15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.012876,0.010024,5919.430209
16014,10.0,1.63,0.16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011619,0.009743,6306.692913
16015,10.0,1.8,0.18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011435,0.009946,7011.924085
16016,10.0,2.01,0.2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011375,0.009177,6556.737118
16017,10.0,1.9,0.19,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.014201,0.010660,6119.170611
16018,10.0,1.07,0.11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.040046,0.009636,1837.863849
16019,10.0,1.68,0.17,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.012656,0.010923,6536.920571
16020,10.0,1.88,0.19,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.019739,0.010715,4240.918397
16021,10.0,2.04,0.2,"[1, 1, 4, 2, 1, 1, 1, 1, 1, 1]",0.008291,0.010615,9266.326563
16022,10.0,1.72,0.17,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.014559,0.008715,5091.745982
16023,10.0,1.62,0.16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011753,0.009827,7269.762049
16024,10.0,1.54,0.15,"[1, 1, 2, 1, 1, 1, 1, 2, 1, 1]",0.008831,0.009111,6944.066664
16025,10.0,2.12,0.21,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.010441,0.009849,6748.503044
16026,10.0,1.7,0.17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.014374,0.009046,6070.667248
16027,10.0,1.2,0.12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.016754,0.017125,4717.586379
