case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star
12801,5.0,1.6,0.16,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.012589,0.011769,4666.149399
12802,5.0,1.87,0.19,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0.020697,0.012314,2961.359664
12803,5.0,2.28,0.23,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.008080,0.009317,8242.699102
12804,5.0,2.02,0.2,"[1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",0.009806,0.008805,7190.147570
12805,5.0,1.17,0.12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.016295,0.011292,3629.423638
12806,5.0,1.61,0.16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.007669,0.007758,6058.269257
12807,5.0,1.74,0.17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011076,0.009810,5915.286829
12808,5.0,1.68,0.17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.104540,0.014980,681.847212
12809,5.0,1.46,0.15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.010173,0.009648,6110.058858
12810,5.0,2.05,0.2,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.008286,0.012499,7014.045021
12811,5.0,1.31,0.13,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",0.010820,0.011948,6032.240961
12812,5.0,1.72,0.17,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.010104,0.016193,7326.454036
12813,5.0,1.87,0.19,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.021423,0.008218,3693.297220
12814,5.0,1.85,0.19,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.008725,0.011049,8606.326241
12815,5.0,1.83,0.18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011647,0.011557,6430.983798
12816,5.0,1.22,0.12,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.011788,0.013725,6650.789817
12817,5.0,1.62,0.16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.009137,0.009583,6890.755907
12818,5.0,1.57,0.16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.013962,0.008104,4801.626183
12819,5.0,1.26,0.13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.027709,0.014281,2621.497353
