case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star
20801,15.0,0.68,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.043356,0.009733,7076.730014
20802,15.0,0.71,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.043194,0.012727,5588.676583
20803,15.0,0.71,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.039485,0.013355,7379.526260
20804,15.0,0.61,0.06,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.042235,0.014400,4749.898012
20805,15.0,0.64,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.026761,0.009277,10894.817615
20806,15.0,0.75,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",0.076186,0.009870,3293.373042
20807,15.0,0.62,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.032005,0.009597,8940.573845
20808,15.0,0.73,0.07,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.046207,0.012343,5592.037130
20809,15.0,0.61,0.06,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.030361,0.009721,8301.762012
20810,15.0,0.75,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.045757,0.008972,5192.664894
20811,15.0,0.88,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.046577,0.010078,6059.669675
20812,15.0,0.66,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.047236,0.009931,5607.974094
20813,15.0,0.79,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.068316,0.012059,3747.557331
20814,15.0,0.68,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.052783,0.008917,4546.936496
20815,15.0,0.78,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.039619,0.010677,6262.142109
20816,15.0,0.7,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.029078,0.011146,10568.826178
20817,15.0,0.76,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.030945,0.012422,9191.690942
20818,15.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.045211,0.011337,5699.058593
20819,15.0,0.66,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.094636,0.012307,2805.063159
20820,15.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.055011,0.010768,3671.617263
20821,15.0,0.64,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.070188,0.012005,3534.247430
20822,15.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.033152,0.010496,8313.778105
20823,15.0,0.66,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.041948,0.014607,6680.682626
20824,15.0,0.57,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.055159,0.012139,5223.852675
20825,15.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.059778,0.008306,3935.228238
20826,15.0,0.73,0.07,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0.052567,0.009090,4415.901112
20827,15.0,0.75,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.053954,0.012290,5027.640458
20828,15.0,0.81,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.025989,0.008743,10137.999583
20829,15.0,0.71,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.045196,0.009628,5533.705061
20830,15.0,0.72,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.088980,0.011167,2839.278343
20831,15.0,0.71,0.07,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.029996,0.010948,7767.157617
20832,15.0,0.68,0.07,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.035790,0.012761,6272.775108
20833,15.0,0.64,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.026677,0.011375,8859.393442
20834,15.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.035501,0.008658,7076.369517
20835,15.0,0.82,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.033814,0.009858,7417.038356
20836,15.0,0.82,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.051003,0.011736,5643.161196
20837,15.0,0.88,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.045542,0.008358,5109.587359
20838,15.0,0.8,0.08,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.048142,0.010676,4898.678511
20839,15.0,0.7,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.056510,0.011264,4894.678549
20840,15.0,0.56,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.048487,0.009372,4899.847798
20841,15.0,0.66,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.067842,0.010188,3677.977885
20842,15.0,0.5,0.05,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.112427,0.009456,2386.977111
20843,15.0,0.58,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.061915,0.009118,4357.610887
20844,15.0,0.73,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.038352,0.009239,7404.510981
20845,15.0,0.85,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.035007,0.011418,7327.615329
20846,15.0,0.67,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.047346,0.008452,5276.436930
20847,15.0,0.81,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.028077,0.010227,10752.045783
20848,15.0,0.61,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.040867,0.008221,7073.257265
20849,15.0,0.59,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.046674,0.009703,6826.527821
20850,15.0,0.85,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.062518,0.009559,4268.883602
20851,15.0,0.64,0.06,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.029970,0.008716,7763.666536
20852,15.0,0.61,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.059051,0.009229,4207.191545
20853,15.0,0.65,0.07,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",0.029271,0.013703,7936.931909
20854,15.0,0.61,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.049295,0.009457,5161.989090
20855,15.0,0.8,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.055353,0.009123,5144.827938
20856,15.0,0.67,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.036818,0.010202,7142.748927
20857,15.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.035310,0.011729,7259.181536
20858,15.0,0.71,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.035964,0.010382,6825.100049
20859,15.0,0.82,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.108189,0.008686,2464.195423
20860,15.0,0.64,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.057137,0.011846,5393.328345
20861,15.0,0.6,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.059485,0.014419,4085.035839
20862,15.0,0.59,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.166762,0.009004,1586.095618
20863,15.0,0.7,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.195258,0.011597,1433.080632
20864,15.0,0.64,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.350996,0.009471,830.950750
20865,15.0,0.87,0.09,"[2, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0.042490,0.010500,5579.900148
20866,15.0,0.8,0.08,"[1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",0.038251,0.010770,5984.183725
20867,15.0,0.74,0.07,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 1]",0.027685,0.009274,8316.784951
20868,15.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.031669,0.010110,9329.100880
20869,15.0,0.82,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.037353,0.008429,5922.658780
20870,15.0,0.65,0.07,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.030728,0.012338,7732.094024
20871,15.0,0.91,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.135071,0.008717,1986.209231
20872,15.0,0.55,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.777730,0.010173,360.485111
20873,15.0,0.63,0.06,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0.029381,0.013546,8608.054742
20874,15.0,0.57,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.039602,0.011221,6132.547347
20875,15.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.044725,0.008078,5524.465428
20876,15.0,0.64,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0.073995,0.010738,2970.731113
20877,15.0,0.75,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.023089,0.009755,10501.870797
20878,15.0,0.66,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.040881,0.011918,6952.875456
20879,15.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.032088,0.013185,7718.256568
20880,15.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.030069,0.008905,8598.272437
20881,15.0,0.75,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.038727,0.008769,6516.416567
20882,15.0,0.55,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.037392,0.010731,8340.830938
20883,15.0,0.69,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.030333,0.010476,7493.508372
20884,15.0,0.61,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.050523,0.010543,6144.495251
20885,15.0,0.65,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.040606,0.013479,6747.037899
20886,15.0,0.65,0.07,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.027093,0.010351,9114.966556
20887,15.0,0.7,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.052175,0.014088,5692.396944
20888,15.0,0.72,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.034259,0.010697,7048.038428
20889,15.0,0.71,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.038365,0.009044,7252.011735
20890,15.0,0.76,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.073992,0.008700,3928.782957
20891,15.0,0.85,0.09,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.063494,0.011093,3676.706194
20892,15.0,0.7,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.030018,0.009313,7845.323545
20893,15.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.154126,0.011057,1732.735315
20894,15.0,0.67,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.101727,0.010606,2414.099881
20895,15.0,0.69,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.068379,0.010510,3835.660397
20896,15.0,0.56,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.037151,0.010617,6811.601655
20897,15.0,0.75,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.031205,0.009563,9022.866599
20898,15.0,0.85,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.121971,0.010119,2054.589407
20899,15.0,0.65,0.07,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.048810,0.018662,5119.840832
20900,15.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.038810,0.009250,6542.719920
