case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star
17601,10.0,0.57,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.035982,0.010111,6524.286410
17602,10.0,0.88,0.09,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.026441,0.009123,7767.867967
17603,10.0,0.78,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.027674,0.011224,9194.129441
17604,10.0,0.76,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.115017,0.009107,2227.322328
17605,10.0,0.72,0.07,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.040077,0.009605,6268.116654
17606,10.0,0.91,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.022696,0.013220,9472.227530
17607,10.0,0.63,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.024914,0.009271,9984.053024
17608,10.0,0.57,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.104533,0.010828,2751.852843
17609,10.0,0.7,0.07,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.032403,0.013996,7804.557242
17610,10.0,0.65,0.07,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.028477,0.014948,8303.893772
17611,10.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.027772,0.012363,8945.821819
17612,10.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.032957,0.012734,7623.932026
17613,10.0,0.85,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.044295,0.009123,4847.529422
17614,10.0,0.79,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.028508,0.010192,9066.871159
17615,10.0,0.62,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.027503,0.008045,10038.283093
17616,10.0,0.8,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.033830,0.011699,7657.103145
17617,10.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.051261,0.008894,4704.567955
17618,10.0,0.73,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.086022,0.009398,3416.793813
17619,10.0,0.68,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.036864,0.010675,6753.554096
17620,10.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.047619,0.009269,5462.968184
17621,10.0,0.61,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.036065,0.009545,5363.715452
17622,10.0,0.79,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.031787,0.009814,7019.231781
17623,10.0,0.74,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.080629,0.011740,3755.728583
17624,10.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.043483,0.011731,5259.060333
17625,10.0,0.82,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.060126,0.013386,3834.970508
