case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
14401,5.0,0.58,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.152497,0.008510,1075.5588,None
14402,5.0,0.64,0.06,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",0.053818,0.008062,4424.1811,None
14403,5.0,0.72,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",0.076722,0.009237,2655.2257,None
14404,5.0,0.71,0.07,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.061576,0.009324,3542.1444,None
14405,5.0,0.78,0.08,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0.083134,0.010470,2770.9316,None
14406,5.0,0.67,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.028548,0.013642,8707.3504,None
14407,5.0,0.87,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.037544,0.012356,7211.2457,None
14408,5.0,0.71,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.050753,0.010037,5285.6424,None
14409,5.0,0.81,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.055203,0.012391,4379.4704,None
14410,5.0,0.78,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.065447,0.009913,4291.1349,None
14411,5.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.028736,0.011068,9151.5315,None
14412,5.0,0.83,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.048067,0.009159,5013.0474,None
14413,5.0,0.69,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.041925,0.011935,5833.7882,None
14414,5.0,0.68,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.040532,0.010287,5817.1271,None
14415,5.0,0.75,0.08,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0.022293,0.011136,12014.7476,None
14416,5.0,0.77,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.027978,0.011770,9454.4964,None
14417,5.0,0.52,0.05,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.036662,0.007952,6160.0392,None
14418,5.0,0.76,0.08,"[1, 2, 2, 1, 1, 1, 1, 1, 1, 1]",0.036921,0.012602,6548.3310,None
14419,5.0,0.55,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.041178,0.010775,6988.2144,None
14420,5.0,0.82,0.08,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.028415,0.010804,8029.1539,None
