case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
20801,15.0,0.68,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.043356,0.009733,7076.7300,None
20802,15.0,0.71,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.043194,0.012727,5588.6766,None
20803,15.0,0.71,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.039485,0.013355,7379.5263,None
20804,15.0,0.61,0.06,"[1, 1, 1, 1, 1, 1, 2, 2, 1, 1]",0.040659,0.014400,4742.0994,None
20805,15.0,0.64,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.026761,0.009277,10894.8176,None
20806,15.0,0.75,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.079943,0.009870,3264.0896,None
20807,15.0,0.62,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.032005,0.009597,8940.5738,None
20808,15.0,0.73,0.07,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.046207,0.012343,5592.0371,None
20809,15.0,0.61,0.06,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.031814,0.009721,8226.0632,None
20810,15.0,0.75,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.045757,0.008972,5192.6649,None
20811,15.0,0.88,0.09,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.046577,0.010078,6059.6697,None
20812,15.0,0.66,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.047236,0.009931,5607.9741,None
20813,15.0,0.79,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.068316,0.012059,3747.5573,None
20814,15.0,0.68,0.07,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.052783,0.008917,4546.9365,None
20815,15.0,0.78,0.08,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.039619,0.010677,6262.1421,None
