case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
1,5.0,1.56,0.16,"[1, 1, 1, 1, 1]",0.024380,0.029601,1642.3212,None
2,5.0,1.93,0.19,"[1, 1, 1, 1, 1]",0.014763,0.018133,2571.3197,None
3,5.0,2.36,0.24,"[1, 1, 1, 1, 1]",0.012950,0.014946,3711.2217,None
4,5.0,2.11,0.21,"[1, 1, 1, 1, 2]",0.008045,0.014485,5049.1354,None
5,5.0,1.18,0.12,"[1, 1, 1, 1, 1]",0.013844,0.016145,2824.2970,None
6,5.0,1.83,0.18,"[1, 1, 1, 1, 1]",0.031814,0.029525,1302.5746,None
7,5.0,1.95,0.2,"[1, 1, 1, 1, 1]",0.035433,0.021056,1288.0698,None
8,5.0,2.1,0.21,"[1, 1, 1, 1, 1]",0.010759,0.016994,3853.6728,None
9,5.0,1.87,0.19,"[1, 1, 1, 2, 1]",0.009237,0.015411,3518.2925,None
10,5.0,1.52,0.15,"[1, 1, 1, 1, 1]",0.016995,0.017192,2166.4791,None
11,5.0,1.96,0.2,"[1, 1, 1, 1, 1]",0.010068,0.015228,4747.6566,None
12,5.0,2.09,0.21,"[1, 1, 1, 1, 2]",0.009344,0.028883,4367.7385,None
13,5.0,1.34,0.13,"[1, 1, 1, 1, 1]",0.012146,0.021802,3423.3889,None
14,5.0,0.85,0.09,"[1, 1, 1, 1, 1]",0.021712,0.018877,1583.4478,None
15,5.0,1.63,0.16,"[1, 1, 1, 1, 1]",0.015092,0.014838,2101.7274,None
16,5.0,2.25,0.23,"[1, 1, 1, 1, 1]",0.007137,0.015075,4136.2032,None
17,5.0,2.13,0.21,"[1, 1, 1, 1, 1]",0.013876,0.023218,2696.8199,None
18,5.0,1.58,0.16,"[1, 1, 1, 1, 1]",0.021663,0.031293,1687.6550,None
19,5.0,1.99,0.2,"[1, 1, 1, 1, 1]",0.008979,0.021031,4555.3031,None
20,5.0,1.42,0.14,"[1, 1, 1, 1, 1]",0.014043,0.015152,2321.4757,None
21,5.0,2.0,0.2,"[1, 1, 1, 1, 1]",0.028661,0.027703,1768.2309,None
22,5.0,1.9,0.19,"[1, 1, 1, 1, 1]",0.009217,0.018678,3931.7252,None
23,5.0,1.87,0.19,"[1, 1, 1, 2, 1]",0.008955,0.021428,3853.7042,None
24,5.0,1.62,0.16,"[1, 1, 1, 2, 1]",0.013545,0.022142,3187.0634,None
25,5.0,1.3,0.13,"[1, 1, 1, 1, 1]",0.014204,0.015269,2358.4097,None
