case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
55863,10.0,39.4,39.4,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1]",0.007407,0.325104,17882.9077,None
55864,10.0,39.49,39.49,"[1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.008446,0.313642,14601.4845,None
55865,10.0,42.69,42.69,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.010476,0.338249,16413.7699,None
55866,10.0,29.78,29.78,"[1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 6, 1, 1, 1]",0.013024,0.319707,10256.3107,None
55867,10.0,32.69,32.69,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1]",0.008098,0.328828,16561.9260,None
55868,10.0,35.87,35.87,"[1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1]",0.008486,0.334664,19221.9201,None
55869,10.0,33.3,33.3,"[1, 8, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.007461,0.319006,20517.7392,None
55870,10.0,31.83,31.83,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 4, 2, 1, 1, 2, 1, 2, 1, 3, 2, 1, 2, 2, 1, 1]",0.017324,0.331891,9682.6960,None
55871,10.0,39.73,39.73,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0.014158,0.339039,9835.4437,None
55872,10.0,36.16,36.16,"[1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]",0.006506,0.326052,20965.6230,None
