case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
4801,10.0,0.57,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.039875,0.016822,3313.3550,None
4802,10.0,0.63,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.165020,0.021874,807.4185,None
4803,10.0,0.56,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.057490,0.021157,2004.1590,None
4804,10.0,0.8,0.08,"[1.0, 1.0, 1.0, 1.0, 2.0]",0.036591,0.017299,3169.6389,None
4805,10.0,0.86,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.055042,0.018515,2368.3825,None
4806,10.0,0.63,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.038069,0.014844,3405.8872,None
4807,10.0,0.69,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.032270,0.017662,3528.3066,None
4808,10.0,0.64,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.205005,0.016393,659.5947,None
4809,10.0,0.72,0.07,"[1.0, 3.0, 1.0, 1.0, 1.0]",0.041970,0.017202,2849.9459,None
4810,10.0,0.5,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.096515,0.016454,1481.0161,None
4811,10.0,0.86,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.032813,0.028788,3474.8231,None
4812,10.0,0.42,0.04,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.048444,0.022802,3227.6330,None
4813,10.0,0.54,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.038320,0.016009,3814.7624,None
4814,10.0,0.61,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.129967,0.015294,1256.4727,None
4815,10.0,0.66,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.081933,0.022631,1435.0803,None
4816,10.0,0.78,0.08,"[1.0, 2.0, 1.0, 1.0, 1.0]",0.028232,0.022625,3876.1078,None
4817,10.0,0.6,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.508055,0.024819,232.0220,None
4818,10.0,0.67,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.035921,0.017173,3275.4849,None
4819,10.0,0.63,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.084696,0.012776,1566.5379,None
