case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
2729,5.0,8.1,40.5,"[3.0, 3.0, 4.0, 4.0, 4.0]",0.005794,0.759794,7587.1458,None
2730,5.0,6.92,34.6,"[5.0, 3.0, 3.0, 6.0, 5.0]",0.006372,0.772041,6369.8022,None
2731,5.0,5.44,27.2,"[4.0, 4.0, 3.0, 4.0, 5.0]",0.007382,0.779010,6232.1657,None
2732,5.0,7.6,38.0,"[5.0, 4.0, 5.0, 3.0, 6.0]",0.006814,0.790086,5818.2469,None
2733,5.0,7.48,37.4,"[9.0, 3.0, 4.0, 5.0, 5.0]",0.004670,0.798780,8891.8506,None
2734,5.0,8.04,40.2,"[6.0, 3.0, 4.0, 7.0, 6.0]",0.005864,0.800904,5498.0857,None
2735,5.0,7.3,36.5,"[3.0, 8.0, 3.0, 6.0, 3.0]",0.004922,0.766113,7462.3254,None
2736,5.0,7.08,35.4,"[5.0, 3.0, 4.0, 6.0, 5.0]",0.054103,0.797446,689.9255,None
2737,5.0,4.76,23.8,"[2.0, 4.0, 3.0, 5.0, 5.0]",0.007272,0.766822,6281.9960,None
2738,5.0,5.34,26.7,"[3.0, 6.0, 4.0, 3.0, 6.0]",0.013277,0.767638,3065.3519,None
2739,5.0,9.24,46.2,"[3.0, 3.0, 6.0, 5.0, 4.0]",0.004127,0.792699,10861.9620,None
2740,5.0,6.0,30.0,"[3.0, 3.0, 6.0, 5.0, 3.0]",0.005919,0.780238,6085.4262,None
2741,5.0,6.06,30.3,"[5.0, 4.0, 4.0, 3.0, 6.0]",0.005405,0.800302,6321.8488,None
2742,5.0,7.54,37.7,"[4.0, 3.0, 3.0, 6.0, 3.0]",0.004375,0.776121,9094.5083,None
2743,5.0,6.92,34.6,"[3.0, 3.0, 3.0, 4.0, 3.0]",0.007332,0.772913,6164.8831,None
2744,5.0,6.34,31.7,"[3.0, 2.0, 4.0, 3.0, 4.0]",0.007345,0.776029,5873.7210,None
2745,5.0,8.64,43.2,"[3.0, 3.0, 5.0, 4.0, 2.0]",0.004663,0.786126,8264.3864,None
2746,5.0,6.1,30.5,"[2.0, 4.0, 9.0, 4.0, 3.0]",0.009196,0.776568,4451.5229,None
2747,5.0,6.26,31.3,"[4.0, 7.0, 6.0, 5.0, 9.0]",0.005357,0.801559,6814.9805,None
2748,5.0,5.06,25.3,"[4.0, 4.0, 5.0, 6.0, 7.0]",0.005980,0.800889,5296.2006,None
2749,5.0,6.34,31.7,"[8.0, 5.0, 3.0, 5.0, 2.0]",0.014065,0.787190,2676.1480,None
2750,5.0,5.78,28.9,"[5.0, 4.0, 3.0, 5.0, 4.0]",0.004802,0.786247,8489.4988,None
2751,5.0,7.66,38.3,"[3.0, 3.0, 5.0, 3.0, 4.0]",0.011136,0.759174,4828.7084,None
2752,5.0,7.8,39.0,"[5.0, 6.0, 3.0, 3.0, 4.0]",0.006042,0.776572,7035.6866,None
2753,5.0,5.88,29.4,"[3.0, 2.0, 3.0, 5.0, 3.0]",0.006285,0.781040,5811.8069,None
2754,5.0,5.78,28.9,"[4.0, 2.0, 2.0, 2.0, 4.0]",0.006186,0.763004,6936.0992,None
2755,5.0,7.84,39.2,"[3.0, 4.0, 3.0, 4.0, 4.0]",0.005535,0.762547,8497.8928,None
2756,5.0,6.68,33.4,"[4.0, 4.0, 4.0, 2.0, 4.0]",0.011736,0.769644,3573.3044,None
2757,5.0,6.28,31.4,"[4.0, 3.0, 10.0, 4.0, 4.0]",0.007159,0.793936,5404.3615,None
2758,5.0,8.42,42.1,"[5.0, 4.0, 2.0, 2.0, 3.0]",0.005341,0.770777,7783.9370,None
2759,5.0,4.12,20.6,"[4.0, 3.0, 3.0, 4.0, 5.0]",0.013398,0.772957,2913.1055,None
2760,5.0,6.86,34.3,"[3.0, 3.0, 2.0, 3.0, 6.0]",0.006162,0.758470,6945.7671,None
2761,5.0,8.32,41.6,"[4.0, 4.0, 7.0, 2.0, 3.0]",0.019970,0.765101,2024.7036,None
2762,5.0,7.26,36.3,"[3.0, 3.0, 6.0, 7.0, 4.0]",0.005428,0.772771,6610.2224,None
2763,5.0,7.0,35.0,"[5.0, 3.0, 4.0, 4.0, 2.0]",0.009866,0.751944,4910.0121,None
2764,5.0,5.44,27.2,"[2.0, 4.0, 4.0, 3.0, 7.0]",0.005414,0.768062,7207.5904,None
2765,5.0,7.42,37.1,"[3.0, 3.0, 7.0, 3.0, 4.0]",0.004329,0.772344,9951.3263,None
2766,5.0,5.96,29.8,"[4.0, 4.0, 3.0, 5.0, 2.0]",0.008696,0.764389,4586.5650,None
2767,5.0,7.0,35.0,"[4.0, 3.0, 3.0, 6.0, 6.0]",0.011372,0.800238,3215.5077,None
2768,5.0,5.88,29.4,"[4.0, 2.0, 4.0, 8.0, 2.0]",0.008331,0.767011,5094.5353,None
2769,5.0,10.22,51.1,"[5.0, 5.0, 7.0, 4.0, 7.0]",0.004116,0.787522,9208.4235,None
2770,5.0,6.86,34.3,"[3.0, 2.0, 3.0, 5.0, 2.0]",0.005276,0.759915,8230.2810,None
2771,5.0,8.62,43.1,"[5.0, 2.0, 3.0, 6.0, 3.0]",0.004405,0.784421,9611.3861,None
2772,5.0,6.56,32.8,"[6.0, 3.0, 4.0, 3.0, 4.0]",0.004809,0.785219,7548.5766,None
2773,5.0,6.24,31.2,"[3.0, 4.0, 4.0, 4.0, 6.0]",0.009403,0.770171,4368.7971,None
2774,5.0,7.8,39.0,"[3.0, 4.0, 7.0, 4.0, 3.0]",0.006364,0.763991,7019.8799,None
2775,5.0,5.96,29.8,"[5.0, 2.0, 3.0, 5.0, 4.0]",0.009221,0.773411,4514.3263,None
2776,5.0,6.4,32.0,"[3.0, 3.0, 3.0, 4.0, 6.0]",0.004481,0.758215,9182.1059,None
2777,5.0,8.74,43.7,"[3.0, 3.0, 3.0, 4.0, 3.0]",0.014933,0.785766,3287.5998,None
2778,5.0,7.6,38.0,"[4.0, 2.0, 3.0, 6.0, 2.0]",0.008519,0.768350,5337.9175,None
2779,5.0,7.78,38.9,"[3.0, 3.0, 3.0, 3.0, 4.0]",0.006265,0.771354,8027.7786,None
2780,5.0,7.2,36.0,"[3.0, 5.0, 2.0, 2.0, 3.0]",0.006466,0.761784,6455.9804,None
2781,5.0,4.92,24.6,"[4.0, 6.0, 3.0, 3.0, 4.0]",0.004691,0.787162,6829.7873,None
2782,5.0,6.34,31.7,"[10.0, 2.0, 6.0, 5.0, 2.0]",0.007592,0.784619,4388.9617,None
2783,5.0,5.14,25.7,"[4.0, 3.0, 4.0, 4.0, 2.0]",0.007894,0.774628,4256.2018,None
2784,5.0,8.9,44.5,"[3.0, 3.0, 4.0, 2.0, 4.0]",0.007813,0.768760,5316.3974,None
2785,5.0,7.36,36.8,"[5.0, 4.0, 4.0, 4.0, 5.0]",0.004143,0.770627,10045.0079,None
2786,5.0,7.4,37.0,"[4.0, 5.0, 4.0, 5.0, 4.0]",0.003866,0.785691,10987.4417,None
2787,5.0,9.52,47.6,"[5.0, 4.0, 4.0, 4.0, 4.0]",0.011790,0.791883,3204.6846,None
2788,5.0,7.84,39.2,"[3.0, 3.0, 7.0, 4.0, 2.0]",0.005358,0.765558,6327.8124,None
2789,5.0,5.4,27.0,"[3.0, 2.0, 4.0, 3.0, 6.0]",0.007050,0.742881,6312.5091,None
2790,5.0,6.66,33.3,"[5.0, 8.0, 3.0, 3.0, 4.0]",0.024821,0.780699,1645.2865,None
2791,5.0,5.82,29.1,"[5.0, 2.0, 4.0, 2.0, 6.0]",0.010013,0.770885,4684.4828,None
2792,5.0,9.9,49.5,"[3.0, 3.0, 4.0, 3.0, 6.0]",0.024045,0.785676,1818.4029,None
2793,5.0,6.56,32.8,"[3.0, 3.0, 5.0, 5.0, 5.0]",0.004888,0.776714,6895.6956,None
2794,5.0,6.88,34.4,"[4.0, 3.0, 4.0, 9.0, 4.0]",0.006671,0.784274,6277.3986,None
2795,5.0,8.98,44.9,"[3.0, 3.0, 3.0, 3.0, 3.0]",0.005998,0.758442,7168.5339,None
2796,5.0,6.6,33.0,"[5.0, 4.0, 4.0, 3.0, 9.0]",0.004584,0.796136,7807.7563,None
2797,5.0,5.78,28.9,"[3.0, 2.0, 3.0, 4.0, 2.0]",0.006039,0.752536,7882.1300,None
2798,5.0,7.48,37.4,"[3.0, 3.0, 3.0, 10.0, 5.0]",0.012510,0.783162,3524.9898,None
2799,5.0,6.58,32.9,"[6.0, 3.0, 5.0, 4.0, 3.0]",0.005121,0.782011,7386.8645,None
2800,5.0,6.6,33.0,"[6.0, 6.0, 4.0, 4.0, 3.0]",0.005367,0.808782,5464.8845,None
2801,5.0,17.72,1.77,"[2.0, 1.0, 1.0, 1.0, 2.0]",0.015041,0.080199,5629.2880,None
2802,5.0,14.2,1.42,"[1.0, 1.0, 1.0, 1.0, 2.0]",0.024831,0.072340,5391.3353,None
2803,5.0,16.64,1.66,"[2.0, 2.0, 1.0, 1.0, 2.0]",0.029058,0.079782,3297.5893,None
2804,5.0,11.64,1.16,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.027541,0.073628,4711.5183,None
2805,5.0,15.92,1.59,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.019123,0.082554,7572.9843,None
2806,5.0,12.12,1.21,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.052229,0.081602,2727.6251,None
2807,5.0,13.64,1.36,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.032423,0.082342,4130.4599,None
2808,5.0,8.16,0.82,"[1.0, 1.0, 2.0, 1.0, 1.0]",0.045348,0.076362,2473.5133,None
