case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
3201,10.0,1.49,0.15,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.032818,0.024453,1711.2399,None
3202,10.0,1.57,0.16,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.029778,0.022689,1388.9443,None
3203,10.0,1.03,0.1,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.015263,0.016213,3191.9430,None
3204,10.0,2.2,0.22,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.014175,0.015076,3721.9819,None
3205,10.0,1.64,0.16,"[1.0, 1.0, 1.0, 1.0, 2.0]",0.022602,0.020722,2328.0761,None
3206,10.0,1.85,0.19,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.016194,0.019187,3035.7315,None
3207,10.0,1.36,0.14,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.032509,0.016656,1509.7177,None
3208,10.0,2.05,0.2,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.014642,0.017758,3722.1609,None
3209,10.0,1.89,0.19,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.043951,0.019589,1119.8773,None
3210,10.0,2.23,0.22,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.017074,0.015010,2621.5671,None
3211,10.0,1.7,0.17,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.044139,0.019742,1351.6522,None
3212,10.0,1.39,0.14,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.025265,0.014785,1923.5997,None
3213,10.0,1.56,0.16,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.020089,0.019828,2266.8559,None
3214,10.0,1.06,0.11,"[2.0, 1.0, 1.0, 1.0, 1.0]",0.018267,0.022256,3195.9567,None
3215,10.0,1.93,0.19,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.011928,0.020405,3739.2565,None
3216,10.0,1.89,0.19,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.017220,0.021456,3291.5267,None
3217,10.0,1.77,0.18,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.023358,0.015893,2017.3333,None
3218,10.0,1.69,0.17,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.018705,0.029466,2199.4124,None
3219,10.0,2.57,0.26,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.010908,0.016611,3549.6939,None
3220,10.0,1.37,0.14,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.012182,0.021939,4946.4861,None
3221,10.0,2.68,0.27,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.028339,0.015564,1554.0337,None
3222,10.0,1.78,0.18,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.015171,0.015189,3626.7215,None
3223,10.0,2.3,0.23,"[1.0, 2.0, 1.0, 1.0, 1.0]",0.014436,0.014631,2935.6792,None
3224,10.0,1.69,0.17,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.015146,0.017900,4072.3422,None
3225,10.0,1.72,0.17,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.014396,0.019976,4046.8281,None
3226,10.0,2.11,0.21,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.010025,0.015366,6740.9553,None
3227,10.0,2.14,0.21,"[2.0, 1.0, 1.0, 1.0, 1.0]",0.010003,0.020010,4782.4169,None
3228,10.0,1.25,0.12,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.011517,0.016437,3981.9047,None
