case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
8001,15.0,0.55,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.034262,0.019634,3674.0614,None
8002,15.0,0.58,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.029795,0.022209,5110.8527,None
8003,15.0,0.86,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.036962,0.016914,4361.7545,None
8004,15.0,0.62,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.067427,0.020155,2274.7495,None
8005,15.0,0.56,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.123642,0.019440,1362.8080,None
8006,15.0,0.65,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.041312,0.022667,3679.3419,None
8007,15.0,0.9,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.037093,0.027045,3767.8774,None
8008,15.0,0.7,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.027503,0.017415,4283.8709,None
8009,15.0,0.94,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.032339,0.019305,3524.5531,None
8010,15.0,0.6,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.039518,0.015019,3541.1893,None
8011,15.0,0.61,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.031936,0.014922,4131.4418,None
8012,15.0,0.62,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.038827,0.018935,4458.1813,None
8013,15.0,0.8,0.08,"[1.0, 2.0, 1.0, 1.0, 1.0]",0.048271,0.024688,3128.9892,None
8014,15.0,1.0,0.1,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.040089,0.024592,3846.4684,None
8015,15.0,0.77,0.08,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.052531,0.019069,2992.8897,None
8016,15.0,0.6,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.054601,0.021459,2961.1412,None
8017,15.0,0.4,0.04,"[1.0, 1.0, 1.0, 2.0, 1.0]",0.222185,0.016614,613.3636,None
8018,15.0,0.93,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.035809,0.016561,3906.8611,None
8019,15.0,0.53,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.039481,0.020601,3951.2320,None
8020,15.0,0.72,0.07,"[1.0, 1.0, 1.0, 1.0, 2.0]",0.038208,0.024977,3113.2498,None
8021,15.0,0.42,0.04,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.082598,0.025489,1742.1689,None
8022,15.0,0.95,0.1,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.056798,0.019873,2381.7842,None
8023,15.0,0.64,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.036686,0.016280,3969.8737,None
8024,15.0,0.69,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.045230,0.017011,3508.3172,None
8025,15.0,0.85,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.030840,0.020763,3994.7980,None
8026,15.0,0.42,0.04,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.066321,0.018118,2248.1503,None
8027,15.0,0.54,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.031222,0.019402,4706.2368,None
8028,15.0,0.47,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.045260,0.018043,3460.8551,None
8029,15.0,0.88,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.036368,0.032128,3568.5198,None
8030,15.0,0.72,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.182211,0.028861,880.8469,None
8031,15.0,0.52,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.065340,0.020429,2723.0075,None
8032,15.0,0.71,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.038158,0.042696,3780.6048,None
8033,15.0,0.72,0.07,"[1.0, 2.0, 1.0, 1.0, 2.0]",0.040250,0.020116,2879.5356,None
8034,15.0,0.65,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.050026,0.016348,2588.2495,None
8035,15.0,0.8,0.08,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.332654,0.017215,396.5077,None
8036,15.0,0.83,0.08,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.052064,0.018351,3119.9897,None
8037,15.0,0.64,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.055401,0.020848,2651.5866,None
8038,15.0,0.71,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.039212,0.020443,3901.8410,None
8039,15.0,0.74,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.035676,0.022489,3840.6374,None
8040,15.0,0.73,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.031784,0.027533,4351.2653,None
8041,15.0,0.73,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.041337,0.016192,3747.2558,None
8042,15.0,0.56,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.035391,0.023613,4613.6293,None
8043,15.0,0.78,0.08,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.037695,0.016962,3710.8472,None
8044,15.0,0.65,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.099540,0.019415,1486.2393,None
